Month,Sensex,BM,CD,EN,FM,FI,HC,IN,IT,TE,UT
Aug-17,-0.0244,0.0259,0.0051,0.0301,0.0079,-0.0145,-0.0766,-0.0443,-0.0365,-0.0061,-0.0027
Sep-17,-0.0142,-0.0138,0.0021,-0.0198,-0.0403,-0.0139,0.0254,0.0051,-0.0117,-0.0506,0.0064
Oct-17,0.0598,0.0989,0.0533,0.137,0.049,0.0323,0.0572,0.0858,0.0409,0.1785,0.0739
Nov-17,-0.0019,-0.0346,0.0422,-0.0326,0.0056,0.0021,-0.0206,0.0002,0.035,-0.0404,-0.0035
Dec-17,0.027,0.0609,0.0585,0.0062,0.0356,0.01,0.0562,0.0523,0.0497,0.0674,0.0319
Jan-18,0.0545,-0.0021,-0.0303,0.032,0.0015,0.0575,-0.0164,0.0102,0.1074,-0.125,-0.0485
Feb-18,-0.0508,-0.0363,-0.0504,-0.0287,-0.0193,-0.0759,-0.0311,-0.0435,-0.0041,-0.0299,-0.0348
Mar-18,-0.0362,-0.0843,-0.0107,-0.0692,-0.0208,-0.0244,-0.0701,-0.0643,-0.0329,-0.0819,-0.0388
Apr-18,0.0644,0.071,0.057,0.0354,0.0941,0.0541,0.073,0.0668,0.1144,-0.0182,0.0354
May-18,0.0046,-0.0714,-0.0401,-0.0234,-0.0013,0.0206,-0.0848,-0.0695,-0.0085,-0.0735,-0.0269
Jun-18,0.0029,-0.0537,-0.0294,-0.0101,-0.0069,-0.0189,0.0742,-0.0796,0.0341,-0.0173,-0.0755
Jul-18,0.0598,0.0225,0.0333,0.1397,0.0689,0.0585,0.0143,0.0266,0.0427,0.0037,0.0335
Aug-18,0.0272,0.06,0.0141,0.0321,0.0613,0.004,0.1155,0.0256,0.0679,-0.0086,0.0679
Sep-18,-0.0646,-0.0769,-0.1368,-0.0038,-0.1046,-0.1375,-0.0594,-0.1325,0.0052,-0.1436,-0.0977
Oct-18,-0.0505,-0.0697,-0.0441,-0.1456,-0.0331,-0.0028,-0.0201,-0.0106,-0.0728,-0.0419,0.0224
Nov-18,0.0496,0.0219,0.0541,0.055,0.0456,0.0637,-0.0271,0.046,-0.0163,0.0122,-0.0379
Dec-18,-0.0035,0.0046,0.0107,-0.012,0.0155,0.0207,-0.029,0.0135,-0.0146,-0.0035,0.0401
Jan-19,0.0052,-0.0712,-0.077,0.0467,-0.0182,-0.0209,-0.003,-0.0764,0.0801,-0.0119,-0.0532
Feb-19,-0.0108,0.0008,0.0161,0.0059,-0.0228,-0.0164,-0.0087,-0.0144,-0.0007,0.0107,-0.0276
Mar-19,0.0753,0.0811,0.0448,0.1036,0.0336,0.1189,0.046,0.0833,0.0017,0.0398,0.0866
Apr-19,0.0092,0.0121,-0.0208,0.0162,0.0019,-0.0178,-0.0028,-0.0096,0.0624,-0.0508,-0.0321
May-19,0.0173,0.0023,-0.0035,-0.0168,-0.0212,0.0603,-0.0768,0.0511,-0.0301,0.0403,0.016
Jun-19,-0.0081,-0.0199,-0.0146,-0.0533,-0.0137,-0.0075,-0.0317,-0.0195,-0.0081,-0.0272,0.0033
Jul-19,-0.0498,-0.0922,-0.099,-0.0924,-0.0267,-0.0728,-0.0145,-0.1213,0.0051,-0.0802,-0.0648
Aug-19,-0.004,-0.0613,0.0312,0.03,0.0013,-0.0257,0.0134,-0.0438,0.0261,-0.0016,-0.0173
Sep-19,0.0351,0.0554,0.0615,0.0807,0.0604,0.0362,-0.0301,0.0908,-0.0301,0.0606,0.0046
