,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
59,267300,272800,275500,279000,281700,283500,288400,289500,287000,282800,282500,285700,286100,279400,259800,240000,212300,219800,322700,306200,292209,274944,271819,268605,269317,262859,256688,256487,258977,260394,255486,246573,245387,252249,255451,259949,263816,263314,260145,247493,262092,289006,301078,303486,307913,384002,354190,330051,317593,309190,304309,311378,312148,309897,320716,331589,343250,348931,355455,369819
60,255900,261400,267600,270500,274000,273200,278300,282400,284400,281400,276700,277100,280400,280400,274000,254700,235400,208000,216000,317400,301098,286980,270388,267571,264343,265255,258382,252919,252833,255440,257061,251965,243512,242500,249314,252657,257305,261028,260701,257592,245115,259489,286036,298443,300034,304158,379685,350980,327495,315565,306833,301948,309038,310034,308234,319153,329565,341131,346521,352973
61,240100,250100,255000,261800,264400,264900,267400,272100,276200,277900,276100,270600,271400,274500,274400,268300,249900,230300,204000,212100,311398,295273,281960,265835,262964,259721,260478,254200,248991,248913,251524,253195,248292,240795,239550,246393,249726,254696,258543,258011,254742,242059,256582,282765,295650,296256,298977,377626,347736,325086,312732,304215,299450,306940,308188,306384,316966,327219,338742,343949
62,215900,234000,243600,248600,255600,256100,258700,261300,265400,269100,271200,269300,264300,265000,268200,268100,262500,244300,225300,199700,206098,304766,289246,276471,260802,257767,254476,255892,249825,244818,244746,247283,248928,244412,237308,236136,243020,246444,251662,255503,254696,251564,238608,253345,279413,292677,291305,295633,375483,344496,322062,309976,301456,297110,304930,306127,304096,314633,324648,336161
63,201600,210100,227000,236800,241500,246500,248800,252000,254500,258000,262500,263900,262500,257400,258600,261300,261500,256000,238500,220200,193998,201426,297731,282638,270702,255355,251868,249279,251335,245131,240338,240369,242713,244599,240436,233691,232575,239482,243124,248498,252130,251326,247984,234830,250000,275676,288381,287979,292423,373340,340526,319163,307226,299244,294950,302639,303501,301744,312135,322134
64,192500,195300,203600,220300,229700,232900,238900,241100,244500,246700,250500,254900,256400,255000,250300,251100,254400,254300,249300,232700,214198,189294,196551,290238,275582,264389,248735,246170,244107,246280,240166,235323,235628,238129,240080,236076,229851,228844,235826,239557,245047,248545,247568,244035,230879,246429,270859,285693,284431,289249,370535,337027,316060,304443,296646,292301,299835,300853,299092,309187
65,179200,185800,188500,196500,212400,219500,225000,230600,233300,236500,239000,242000,246600,248100,246900,242500,243400,246800,247000,242300,226505,208235,184088,191482,282104,268079,256678,242474,240249,238269,240779,234746,230003,230594,233245,235192,231404,226062,225129,231989,236230,240664,243800,242803,239858,226195,242570,267698,282923,281409,285263,366461,333363,312914,301356,293444,288956,296655,297830,295926
66,171500,172700,178600,181100,189900,202700,211400,215800,222600,224000,228500,230200,233600,237900,239100,238400,234400,235500,238900,239400,235006,219678,202170,178918,186072,273606,262385,249624,236202,233848,232118,234310,228942,224499,225319,228143,230076,226751,221825,220813,228182,231667,235621,238980,238510,235276,221991,239422,264120,280346,277372,281872,362289,329910,309482,298042,289965,285760,293332,294040
67,164000,165000,165900,171200,174200,180400,194600,202300,207200,213300,215500,219000,221200,224600,229100,229900,229700,226000,227100,230800,230906,227018,212657,195926,173433,180293,267480,254277,242196,229454,227191,225377,227410,222782,218714,219690,222694,224736,221531,217392,216647,223530,226713,230650,234488,233894,231014,218153,235913,260731,276947,273717,278365,358049,325837,305838,294012,286256,282145,289269
68,157600,156100,158000,158500,163800,164900,172800,185200,193300,197100,203900,206100,209600,211700,215400,219500,220600,220700,217300,218600,222205,222043,218735,205198,189265,167438,173280,258317,246011,234446,222378,220139,218470,220530,216441,212676,213856,217072,219229,216191,212719,211757,218516,221517,225744,229669,229352,226990,213979,232593,256753,272892,269719,274541,353348,321579,301731,290138,282360,277960
69,147800,150200,148200,150900,151300,154700,157300,164200,176500,183100,188900,194100,196500,199700,201800,205500,209900,211100,211400,208800,209806,212992,213185,210213,197320,182040,159782,166836,248929,237182,226409,214678,212714,211390,213409,209938,206355,207932,211126,213363,211081,207344,206247,212989,216427,220440,224771,225085,222655,209951,228564,252346,268449,265492,270523,348241,316721,297174,285697,277833
